; Epoch 1 --- April 23.4
1 56040.4	33.0	0.032 0.025 0.10

; Epoch A --- May 22.0 
A 56069.0	225.3   13.80 2.000 0.10

; Epoch 2 --- June 6.4
2 56084.4 	5.0	1.089 0.028 0.05
2 56084.4 	6.8	1.381 0.025 0.05

;Epoch 3 --- June 14.2
3 56092.2 	13.3 	3.523 0.042 0.10
3 56092.2 	16.0 	3.980 0.049 0.10
3 56092.2 	28.2 	5.727 0.098 0.10
3 56092.2 	36.5 	5.961 0.139 0.10

; Epoch 4 --- June 22.3
; 4 ; 56100.3	2.5 	3.094 0.037 0.05
; 4 ; 56100.3       3.5 	3.201 0.030 0.05
4 56100.3       5.0 	3.423 0.023 0.05
4 56100.3       6.8	3.629 0.025 0.05
4 56100.3       8.5 	3.683 0.052 0.05
4 56100.3       11.4	3.779 0.071 0.05

; Epoch B --- July 8.9
B 56117.9	225.5	0.000 0.680 0.10

; Epoch 5 --- July 11.1
5 56119.1	1.35	1.680 0.120 0.05
5 56119.1	1.84	1.391 0.066 0.05
5 56119.1	4.74	1.907 0.027 0.05
5 56119.1	7.59    1.921 0.023 0.05

; Epoch 6 --- July 20.3
6 56128.3	17.5 	1.374 0.091 0.10
6 56128.3	27.5    1.438 0.143 0.10
6 56128.3	36.5 	1.136 0.194 0.10

; Epoch 7 --- Aug 9.0
7 56148.0       4.74    0.521 0.033 0.05
7 56148.0       7.59    0.528 0.025 0.05
7 56148.0       8.53    0.556 0.031 0.05
7 56148.0      11.38    0.571 0.060 0.05

; Epoch 8 --- Aug 11.2
8 56150.2      13.30    0.495 0.042 0.10
8 56150.2      17.45    0.380 0.049 0.10
8 56150.2      27.50    0.469 0.078 0.10
8 56150.2      36.50    0.390 0.086 0.10
; Aug 12.3
8 56151.3       1.80    0.497 0.088 0.05
8 56151.3       4.61    0.550 0.024 0.05
8 56151.3       7.41    0.509 0.017 0.05
8 56151.3      11.34    0.418 0.035 0.05

; Epoch 9 --- Aug 9.0
9 56167.0       1.36    0.244 0.049 0.05
9 56167.0       1.78    0.431 0.048 0.05
9 56167.0       4.6     0.347 0.028 0.05
9 56167.0       7.46    0.292 0.016 0.05
9 56167.0       8.5     0.289 0.018 0.05
9 56167.0      11.4     0.368 0.031 0.05

; Epoch 10 --- Sept 4.2
10 56174.2      13.30    0.188 0.019 0.10
10 56174.2      17.45    0.110 0.029 0.10
10 56174.2      27.50    0.106 0.027 0.10
10 56174.2      36.50    0.365 0.131 0.10

; Epoch 11 --- Sept 7.9
11 56177.9       1.33    0.225 0.044 0.05
11 56177.9       1.77    0.201 0.042 0.05

; Epoch 12 --- Oct 31.0
12 56231.0      13.30    0.035 0.021 0.10
12 56231.0      17.40    0.043 0.027 0.10
12 56231.0      27.50    0.060 0.044 0.10
12 56231.0      36.50    0.044 0.052 0.10

;Epoch 13 --- 2012 Dec 9.8
13 56270.8    1.26	0	0.083 0.05
13 56270.8    1.74	0	0.084 0.05
13 56270.8    4.55	0	0.021 0.05
13 56270.8    7.40	0	0.016 0.05
