JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2459472.639236,10.2446,0.0519,,B,WGR,,115,110,X26803MT,,0,1.456,Z,18.3271,16.6621,,RS OPH,AAVSO,STD,,,,
2459472.639444,10.1739,0.0535,,B,WGR,,115,110,X26803MT,,0,1.456,Z,18.3990,16.6733,,RS OPH,AAVSO,STD,,,,
2459472.639641,10.1866,0.0562,,B,WGR,,115,110,X26803MT,,0,1.457,Z,18.3986,16.6763,,RS OPH,AAVSO,STD,,,,
2459472.63985,10.0315,0.0637,,B,WGR,,115,110,X26803MT,,0,1.457,Z,18.5283,16.7000,,RS OPH,AAVSO,STD,,,,
2459472.640046,10.2749,0.0525,,B,WGR,,115,110,X26803MT,,0,1.458,Z,18.3046,16.7306,,RS OPH,AAVSO,STD,,,,
2459472.640498,9.4651,0.0305,,V,WGR,,115,110,X26803MT,,0,1.459,Z,16.7951,14.5650,,RS OPH,AAVSO,STD,,,,
2459472.640648,9.4633,0.0302,,V,WGR,,115,110,X26803MT,,0,1.460,Z,16.8033,14.5526,,RS OPH,AAVSO,STD,,,,
2459472.640799,9.3841,0.0330,,V,WGR,,115,110,X26803MT,,0,1.460,Z,16.8511,14.5481,,RS OPH,AAVSO,STD,,,,
2459472.640961,9.4094,0.0324,,V,WGR,,115,110,X26803MT,,0,1.461,Z,16.8637,14.5449,,RS OPH,AAVSO,STD,,,,
2459472.641123,9.3916,0.0327,,V,WGR,,115,110,X26803MT,,0,1.461,Z,16.8847,14.5387,,RS OPH,AAVSO,STD,,,,
2459472.641262,9.4872,0.0315,,V,WGR,,115,110,X26803MT,,0,1.462,Z,16.7454,14.5139,,RS OPH,AAVSO,STD,,,,
2459472.641424,9.4869,0.0308,,V,WGR,,115,110,X26803MT,,0,1.462,Z,16.7696,14.5412,,RS OPH,AAVSO,STD,,,,
2459472.641563,9.5677,0.0282,,V,WGR,,115,110,X26803MT,,0,1.463,Z,16.7301,14.5507,,RS OPH,AAVSO,STD,,,,
2459472.641725,9.4914,0.0322,,V,WGR,,115,110,X26803MT,,0,1.463,Z,16.7811,14.5676,,RS OPH,AAVSO,STD,,,,
2459472.641887,9.4792,0.0316,,V,WGR,,115,110,X26803MT,,0,1.464,Z,16.7915,14.5692,,RS OPH,AAVSO,STD,,,,
2459472.642037,9.5688,0.0284,,V,WGR,,115,110,X26803MT,,0,1.465,Z,16.6844,14.5207,,RS OPH,AAVSO,STD,,,,
2459472.642188,9.5071,0.0307,,V,WGR,,115,110,X26803MT,,0,1.465,Z,16.7545,14.5487,,RS OPH,AAVSO,STD,,,,
2459472.642338,9.3967,0.0353,,V,WGR,,115,110,X26803MT,,0,1.466,Z,16.8642,14.5592,,RS OPH,AAVSO,STD,,,,
2459472.6425,9.6595,0.0273,,V,WGR,,115,110,X26803MT,,0,1.466,Z,16.6243,14.5404,,RS OPH,AAVSO,STD,,,,
2459472.642674,9.4191,0.0327,,V,WGR,,115,110,X26803MT,,0,1.467,Z,16.8485,14.5471,,RS OPH,AAVSO,STD,,,,
2459472.642813,9.5970,0.0287,,V,WGR,,115,110,X26803MT,,0,1.467,Z,16.6580,14.5406,,RS OPH,AAVSO,STD,,,,
2459472.642963,9.4818,0.0319,,V,WGR,,115,110,X26803MT,,0,1.468,Z,16.7702,14.5729,,RS OPH,AAVSO,STD,,,,
2459472.643113,9.6510,0.0269,,V,WGR,,115,110,X26803MT,,0,1.468,Z,16.6128,14.5392,,RS OPH,AAVSO,STD,,,,
