JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2459432.6083,11.1,,,Vis.,MOW,,109,115,X23039XB,,,,Z,,,,RS OPH,AAVSO,STD,,,,
2459432.67088,12.184,0.016,,B,FJQ,,000-BBZ-422,000-BBZ-440,X26828BJ,|VMAGINS=13.605|VERR=0.011|CREFMAG=12.242|CREFERR=0.012|KREFMAG=14.273|KREFERR=0.012|VX=1.3575|CX=1.3578|KX=1.3578|TB_BV=0.2300|TB_BVERR=0.0330|TAVER=2.51,1,1.339,Z,13.741,15.839,,RS OPH,AAVSO,STD,121,,,
2459432.67148,12.170,0.015,,B,FJQ,,000-BBZ-422,000-BBZ-440,X26828BJ,|VMAGINS=13.594|VERR=0.011|CREFMAG=12.242|CREFERR=0.012|KREFMAG=14.273|KREFERR=0.012|VX=1.3565|CX=1.3568|KX=1.3568|TB_BV=0.2300|TB_BVERR=0.0330|TAVER=2.51,1,1.338,Z,13.732,15.738,,RS OPH,AAVSO,STD,122,,,
2459432.67211,12.227,0.018,,B,FJQ,,000-BBZ-422,000-BBZ-440,X26828BJ,|VMAGINS=13.633|VERR=0.011|CREFMAG=12.242|CREFERR=0.012|KREFMAG=14.273|KREFERR=0.012|VX=1.3555|CX=1.3558|KX=1.3558|TB_BV=0.2300|TB_BVERR=0.0330|TAVER=2.51,1,1.337,Z,13.738,15.762,,RS OPH,AAVSO,STD,123,,,
2459432.67274,12.295,0.019,,B,FJQ,,000-BBZ-422,000-BBZ-440,X26828BJ,|VMAGINS=13.665|VERR=0.011|CREFMAG=12.242|CREFERR=0.012|KREFMAG=14.273|KREFERR=0.012|VX=1.3545|CX=1.3548|KX=1.3548|TB_BV=0.2300|TB_BVERR=0.0330|TAVER=2.51,1,1.336,Z,13.716,15.758,,RS OPH,AAVSO,STD,124,,,
2459432.67333,12.263,0.019,,B,FJQ,,000-BBZ-422,000-BBZ-440,X26828BJ,|VMAGINS=13.670|VERR=0.011|CREFMAG=12.242|CREFERR=0.012|KREFMAG=14.273|KREFERR=0.012|VX=1.3536|CX=1.3539|KX=1.3539|TB_BV=0.2300|TB_BVERR=0.0330|TAVER=2.51,1,1.335,Z,13.754,15.800,,RS OPH,AAVSO,STD,125,,,
2459432.67400,11.121,0.011,,V,FJQ,,000-BBZ-422,000-BBZ-440,X26828BJ,|VMAGINS=13.206|VERR=0.009|CREFMAG=11.517|CREFERR=0.008|KREFMAG=13.254|KREFERR=0.008|VX=1.3526|CX=1.3529|KX=1.3529|TV_BV=-0.0120|TV_BVERR=0.0200|TAVER=2.51,1,1.334,Z,13.598,15.373,,RS OPH,AAVSO,STD,121,,,
2459432.67449,11.157,0.011,,V,FJQ,,000-BBZ-422,000-BBZ-440,X26828BJ,|VMAGINS=13.222|VERR=0.009|CREFMAG=11.517|CREFERR=0.008|KREFMAG=13.254|KREFERR=0.008|VX=1.3518|CX=1.3522|KX=1.3522|TV_BV=-0.0120|TV_BVERR=0.0200|TAVER=2.51,1,1.334,Z,13.579,15.323,,RS OPH,AAVSO,STD,122,,,
2459432.67496,11.109,0.012,,V,FJQ,,000-BBZ-422,000-BBZ-440,X26828BJ,|VMAGINS=13.206|VERR=0.009|CREFMAG=11.517|CREFERR=0.008|KREFMAG=13.254|KREFERR=0.008|VX=1.3512|CX=1.3516|KX=1.3515|TV_BV=-0.0120|TV_BVERR=0.0200|TAVER=2.51,1,1.333,Z,13.609,15.370,,RS OPH,AAVSO,STD,123,,,
2459432.67545,11.117,0.013,,V,FJQ,,000-BBZ-422,000-BBZ-440,X26828BJ,|VMAGINS=13.202|VERR=0.009|CREFMAG=11.517|CREFERR=0.008|KREFMAG=13.254|KREFERR=0.008|VX=1.3505|CX=1.3509|KX=1.3508|TV_BV=-0.0120|TV_BVERR=0.0200|TAVER=2.51,1,1.333,Z,13.597,15.325,,RS OPH,AAVSO,STD,124,,,
2459432.67594,11.083,0.013,,V,FJQ,,000-BBZ-422,000-BBZ-440,X26828BJ,|VMAGINS=13.176|VERR=0.009|CREFMAG=11.517|CREFERR=0.008|KREFMAG=13.254|KREFERR=0.008|VX=1.3498|CX=1.3502|KX=1.3502|TV_BV=-0.0120|TV_BVERR=0.0200|TAVER=2.51,1,1.332,Z,13.605,15.422,,RS OPH,AAVSO,STD,125,,,
2459432.67651,9.059,0.034,,I,FJQ,,000-BBZ-422,000-BBZ-440,X26828BJ,|VMAGINS=12.519|VERR=0.006|CREFMAG=10.660|CREFERR=0.014|KREFMAG=11.934|KREFERR=0.013|VX=1.3490|CX=1.3495|KX=1.3494|TI_VI=-0.0870|TI_VIERR=0.0280|TAVER=2.51,1,1.331,Z,14.015,15.324,,RS OPH,AAVSO,STD,121,,,
2459432.67693,9.017,0.037,,I,FJQ,,000-BBZ-422,000-BBZ-440,X26828BJ,|VMAGINS=12.495|VERR=0.006|CREFMAG=10.660|CREFERR=0.014|KREFMAG=11.934|KREFERR=0.013|VX=1.3485|CX=1.3489|KX=1.3489|TI_VI=-0.0870|TI_VIERR=0.0280|TAVER=2.51,1,1.331,Z,14.026,15.333,,RS OPH,AAVSO,STD,122,,,
2459432.67734,9.043,0.035,,I,FJQ,,000-BBZ-422,000-BBZ-440,X26828BJ,|VMAGINS=12.494|VERR=0.006|CREFMAG=10.660|CREFERR=0.014|KREFMAG=11.934|KREFERR=0.013|VX=1.3479|CX=1.3484|KX=1.3483|TI_VI=-0.0870|TI_VIERR=0.0280|TAVER=2.51,1,1.330,Z,14.006,15.322,,RS OPH,AAVSO,STD,123,,,
2459432.67776,9.030,0.035,,I,FJQ,,000-BBZ-422,000-BBZ-440,X26828BJ,|VMAGINS=12.497|VERR=0.006|CREFMAG=10.660|CREFERR=0.014|KREFMAG=11.934|KREFERR=0.013|VX=1.3474|CX=1.3479|KX=1.3478|TI_VI=-0.0870|TI_VIERR=0.0280|TAVER=2.51,1,1.330,Z,14.020,15.300,,RS OPH,AAVSO,STD,124,,,
2459432.67820,9.029,0.034,,I,FJQ,,000-BBZ-422,000-BBZ-440,X26828BJ,|VMAGINS=12.490|VERR=0.006|CREFMAG=10.660|CREFERR=0.014|KREFMAG=11.934|KREFERR=0.013|VX=1.3469|CX=1.3473|KX=1.3472|TI_VI=-0.0870|TI_VIERR=0.0280|TAVER=2.51,1,1.329,Z,14.017,15.307,,RS OPH,AAVSO,STD,125,,,
2459433.38889,<10.5,,,Vis.,MED,,10.5,,B,,,,Z,,,,Rs oph,AAVSO,STD,,,,
2459433.41,11.1,,,Vis.,PYG,U,109-2,,AAVSO X25410AKQ,,,,Z,,,,RS OPH,BAA-VSS,STD,,,,
2459433.422,10.8,,,Vis.,TOO,,,,24.02,SCT200,,,Z,,,,RS OPH,BAA-VSS,STD,,,,BAAVSS
2459433.65448,12.262,0.023,,B,FJQ,,000-BBZ-422,000-BBZ-440,X26828BJ,|VMAGINS=13.774|VERR=0.014|CREFMAG=12.242|CREFERR=0.012|KREFMAG=14.273|KREFERR=0.012|VX=1.3864|CX=1.3865|KX=1.3867|TB_BV=0.2300|TB_BVERR=0.0330|TAVER=2.51,1,1.365,Z,13.870,15.893,,RS OPH,AAVSO,STD,126,,,
2459433.65510,12.284,0.024,,B,FJQ,,000-BBZ-422,000-BBZ-440,X26828BJ,|VMAGINS=13.784|VERR=0.014|CREFMAG=12.242|CREFERR=0.012|KREFMAG=14.273|KREFERR=0.012|VX=1.3848|CX=1.3849|KX=1.3851|TB_BV=0.2300|TB_BVERR=0.0330|TAVER=2.51,1,1.364,Z,13.873,15.826,,RS OPH,AAVSO,STD,127,,,
2459433.65571,12.286,0.025,,B,FJQ,,000-BBZ-422,000-BBZ-440,X26828BJ,|VMAGINS=13.791|VERR=0.014|CREFMAG=12.242|CREFERR=0.012|KREFMAG=14.273|KREFERR=0.012|VX=1.3833|CX=1.3834|KX=1.3836|TB_BV=0.2300|TB_BVERR=0.0330|TAVER=2.51,1,1.362,Z,13.881,15.841,,RS OPH,AAVSO,STD,128,,,
2459433.65633,12.331,0.025,,B,FJQ,,000-BBZ-422,000-BBZ-440,X26828BJ,|VMAGINS=13.836|VERR=0.014|CREFMAG=12.242|CREFERR=0.012|KREFMAG=14.273|KREFERR=0.012|VX=1.3818|CX=1.3819|KX=1.3821|TB_BV=0.2300|TB_BVERR=0.0330|TAVER=2.51,1,1.361,Z,13.884,15.976,,RS OPH,AAVSO,STD,129,,,
2459433.65696,12.300,0.024,,B,FJQ,,000-BBZ-422,000-BBZ-440,X26828BJ,|VMAGINS=13.788|VERR=0.013|CREFMAG=12.242|CREFERR=0.012|KREFMAG=14.273|KREFERR=0.012|VX=1.3803|CX=1.3804|KX=1.3806|TB_BV=0.2300|TB_BVERR=0.0330|TAVER=2.51,1,1.359,Z,13.863,15.885,,RS OPH,AAVSO,STD,130,,,
2459433.65762,11.034,0.014,,V,FJQ,,000-BBZ-422,000-BBZ-440,X26828BJ,|VMAGINS=13.201|VERR=0.010|CREFMAG=11.517|CREFERR=0.008|KREFMAG=13.254|KREFERR=0.008|VX=1.3787|CX=1.3788|KX=1.3790|TV_BV=-0.0120|TV_BVERR=0.0200|TAVER=2.51,1,1.358,Z,13.678,15.355,,RS OPH,AAVSO,STD,126,,,
2459433.65810,10.988,0.015,,V,FJQ,,000-BBZ-422,000-BBZ-440,X26828BJ,|VMAGINS=13.186|VERR=0.010|CREFMAG=11.517|CREFERR=0.008|KREFMAG=13.254|KREFERR=0.008|VX=1.3776|CX=1.3777|KX=1.3779|TV_BV=-0.0120|TV_BVERR=0.0200|TAVER=2.51,1,1.357,Z,13.708,15.486,,RS OPH,AAVSO,STD,127,,,
2459433.65860,10.978,0.015,,V,FJQ,,000-BBZ-422,000-BBZ-440,X26828BJ,|VMAGINS=13.149|VERR=0.010|CREFMAG=11.517|CREFERR=0.008|KREFMAG=13.254|KREFERR=0.008|VX=1.3764|CX=1.3766|KX=1.3767|TV_BV=-0.0120|TV_BVERR=0.0200|TAVER=2.51,1,1.356,Z,13.681,15.428,,RS OPH,AAVSO,STD,128,,,
2459433.65907,11.010,0.016,,V,FJQ,,000-BBZ-422,000-BBZ-440,X26828BJ,|VMAGINS=13.180|VERR=0.011|CREFMAG=11.517|CREFERR=0.008|KREFMAG=13.254|KREFERR=0.008|VX=1.3753|CX=1.3755|KX=1.3756|TV_BV=-0.0120|TV_BVERR=0.0200|TAVER=2.51,1,1.355,Z,13.680,15.516,,RS OPH,AAVSO,STD,129,,,
2459433.65955,10.997,0.015,,V,FJQ,,000-BBZ-422,000-BBZ-440,X26828BJ,|VMAGINS=13.178|VERR=0.010|CREFMAG=11.517|CREFERR=0.008|KREFMAG=13.254|KREFERR=0.008|VX=1.3743|CX=1.3744|KX=1.3746|TV_BV=-0.0120|TV_BVERR=0.0200|TAVER=2.51,1,1.354,Z,13.691,15.494,,RS OPH,AAVSO,STD,130,,,
2459433.66011,9.001,0.034,,I,FJQ,,000-BBZ-422,000-BBZ-440,X26828BJ,|VMAGINS=12.515|VERR=0.007|CREFMAG=10.660|CREFERR=0.014|KREFMAG=11.934|KREFERR=0.013|VX=1.3730|CX=1.3732|KX=1.3733|TI_VI=-0.0870|TI_VIERR=0.0280|TAVER=2.51,1,1.352,Z,14.072,15.402,,RS OPH,AAVSO,STD,126,,,
2459433.66053,8.998,0.033,,I,FJQ,,000-BBZ-422,000-BBZ-440,X26828BJ,|VMAGINS=12.501|VERR=0.007|CREFMAG=10.660|CREFERR=0.014|KREFMAG=11.934|KREFERR=0.013|VX=1.3721|CX=1.3723|KX=1.3724|TI_VI=-0.0870|TI_VIERR=0.0280|TAVER=2.51,1,1.352,Z,14.064,15.402,,RS OPH,AAVSO,STD,127,,,
2459433.66139,9.006,0.032,,I,FJQ,,000-BBZ-422,000-BBZ-440,X26828BJ,|VMAGINS=12.520|VERR=0.007|CREFMAG=10.660|CREFERR=0.014|KREFMAG=11.934|KREFERR=0.013|VX=1.3703|CX=1.3705|KX=1.3706|TI_VI=-0.0870|TI_VIERR=0.0280|TAVER=2.51,1,1.350,Z,14.077,15.399,,RS OPH,AAVSO,STD,128,,,
2459433.66181,9.026,0.032,,I,FJQ,,000-BBZ-422,000-BBZ-440,X26828BJ,|VMAGINS=12.519|VERR=0.007|CREFMAG=10.660|CREFERR=0.014|KREFMAG=11.934|KREFERR=0.013|VX=1.3694|CX=1.3696|KX=1.3697|TI_VI=-0.0870|TI_VIERR=0.0280|TAVER=2.51,1,1.349,Z,14.055,15.342,,RS OPH,AAVSO,STD,129,,,
2459434.40278,<10.5,,,Vis.,MED,L,10.5,,B,,,,Z,,,,Rs oph,AAVSO,STD,,,,
2459434.4694,11.2,,,Vis.,AAX,,109,114,X16460AY,,,,Z,,,,RS OPH,NEOA-JBS,STD,,,,
2459435.032808,<9.1,,,V,WBIA,,,,X26796AY,Observer:DY.Chen  Mersurer:B.Wang  FUJIFILM X-T30 + 18-55mm,0,,Z,9.1,9.4,,RS Oph,AAVSO,STD,,,,
2459435.074597,9.1,,,V,WBIA,,,,X26796AY,Observer: LP.Lou  Mersurer: B.Wang,0,,Z,9.1,9.6,,RS Oph,AAVSO,STD,,,,
2459435.078763,8.4,,,V,WBIA,,,,X26796AY,Observer: LP.Lou  Mersurer: B.Wang SONY A7M2 + 20MM/ 1.8,0,,Z,8.4,8.1,,RS Oph,AAVSO,STD,,,,
2459435.103499,7.5,,,V,WBIA,,HIP 88058,HIP 87807,X26796AY,Observer?DY.Chen  Mersurer?B.Wang FUJIFILM X-T30  + 18-55mm,0,,Z,7.4,7.8,, RS Oph,AAVSO,STD,,,,
2459435.1444,7.0,0.3,,V,WBIA,,HIP 87559,HIP 86768,X26796AY,Observer?LP.Lou  Mersurer?B.Wang,0,,Z,6.9,6.3,,RS Oph,AAVSO,STD,,,,
2459435.259,6.00,0.06,,CV,SKA,,nu Oph,,Simbad,"""Global Meteor Network camera IL0003. Observers: Anna Levina, Arie Blumenzweig. Measurer: Kirill Sokolovsky""",0,,Z,3.34,,,RS Oph,AVSOPLEIONE,STD,,,,
2459435.2651,6.62,0.11,,TG,SKA,Z,nu Oph,,Simbad,"""16.0 mm f/2.8 + NIKON D3100, Observer: Konstantin Vorontsov. Measurer: Kirill Sokolovsky""",0,,Z,3.34,,,RS Oph,AVSOPLEIONE,STD,,,,
2459435.297,5.64,0.07,,CV,SKA,,nu Oph,,Simbad,"""Global Meteor Network camera IL0003. Observers: Anna Levina, Arie Blumenzweig. Measurer: Kirill Sokolovsky""",0,,Z,3.34,,,RS Oph,AVSOPLEIONE,STD,,,,
2459435.3067,5.02,0.06,,TG,SKA,,nu Oph,,Simbad,"""Sigma AF 14mm f/1.8 DG HSM Art Canon EF + Canon EOS 5D Mark III, Observer: Konstantin Makarov. Measurer: Kirill Sokolovsky""",0,,Z,3.34,,,RS Oph,AVSOPLEIONE,STD,,,,
2459435.339,5.66,0.04,,CV,SKA,,nu Oph,,Simbad,"""Global Meteor Network camera IL0003. Observers: Anna Levina, Arie Blumenzweig. Measurer: Kirill Sokolovsky""",0,,Z,3.34,,,RS Oph,AVSOPLEIONE,STD,,,,
2459435.3694,5.1,,,Vis.,MJZ,,4.6,5.4,X24637AUA,,,,Z,,,,Rs oph,AFOEV,STD,,,,
2459435.37153,5.2,,,Vis.,KOS,Y,4.6,5.5,ATLAS,In outburst! I used 7x50 B,,,Z,,,,RS Oph,MCSE,STD,,,,
2459435.372,5.88,0.05,,CV,SKA,,nu Oph,,Simbad,"""Global Meteor Network camera IL0003. Observers: Anna Levina, Arie Blumenzweig. Measurer: Kirill Sokolovsky""",0,,Z,3.34,,,RS Oph,AVSOPLEIONE,STD,,,,
2459435.386,5.3,,,Vis.,BLQ,,,,24.02,OG50x9,,,Z,,,,RS OPH,BAA-VSS,STD,,,,BAAVSS
2459435.41319,5.0,,,Vis.,AAX,YK,46,55,ATLAS,BSC,,,Z,,,,RS Oph,NEOA-JBS,STD,,,,
2459435.42014,5.1,,,Vis.,MUY,Y,46,54,X26794AJB,Outburst!!!,,,Z,,,,RS OPH,VVS,STD,,,,
2459435.43056,5.0,,,Vis.,GKI,Y,4.6,5.4,X20922HZC,Outburst !!!!!,,,Z,,,,RS Oph,,STD,,,,
2459435.4431,5.0,,,Vis.,AAX,,46,55,ATLAS,8X30B,,,Z,,,,RS OPH,NEOA-JBS,STD,,,,
2459435.4507,5.0,,,Vis.,GZN,,43,53,23013BHW,,,,Z,,,,RS OPH,AAVSO,STD,,,,
2459435.4660,5.0,,,Vis.,AAX,,48,55,ATLAS,USIN TAU OPH NAKED EYE,,,Z,,,,RS OPH,NEOA-JBS,STD,,,,
2459435.48264,4.9,,,Vis.,SWQ,,55,46,SKY SAFARI,,,,Z,,,,RS Oph,REA,STD,,,,
2459435.4882,4.9,,,Vis.,GZN,,43,53,23013BHW,,,,Z,,,,RS OPH,AAVSO,STD,,,,
2459435.49653,4.8,,,Vis.,GKI,Y,4.6,5.4,X20922HZC,Brightening slightly since discovery,,,Z,,,,RS oph,,STD,,,,
2459435.525,5.858,,,TG,PYG,,000-BBZ-502,,AAVSO X26796PE,Y  SLOOH,0,,Z,8.376,,,RS OPH,BAA-VSS,STD,,,,
2459435.52778,4.9,,,Vis.,DCMA,YK,4.6,5.4,ATLAS,Outburst,,,Z,,,,RS OPH,AAVSO,STD,,,,
2459435.54861,4.8,,,Vis.,CLQ,BU,4.6,5.4,X23012CRX,"""Twilight. Clouds, haze. 15x70's handheld.""",,,Z,,,,rs oph,AAVSO,STD,,,,
2459435.55694,4.9,,,Vis.,GKI,Y,4.6,5.4,X20922HZC,,,,Z,,,,RS Oph,,STD,,,,
2459435.55903,4.9,,,Vis.,SLH,Y,46,54,x26796ba,,,,Z,,,,rs oph,AAVSO,STD,,,,
2459435.60764,4.8,,,Vis.,CLQ,U,4.6,5.4,X26796AL,"""Clouds, haze.  7x50's handheld.""",,,Z,,,,rs oph,AAVSO,STD,,,,
2459435.62151,4.780,0.006,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.62383,4.792,0.006,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.62593,4.784,0.009,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.62790,4.828,0.007,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.63024,4.823,0.007,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.63234,4.791,0.006,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.63445,4.810,0.007,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.63656,4.845,0.007,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.63871,4.823,0.006,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.64079,4.845,0.006,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.64289,4.864,0.008,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.64498,4.851,0.009,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.64693,4.854,0.009,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.64921,4.828,0.008,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.65133,4.854,0.007,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.65343,4.824,0.006,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.65550,4.826,0.008,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.65755,4.844,0.009,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.65963,4.849,0.009,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.66180,4.800,0.009,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.66391,4.835,0.007,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.66528,4.6,,,Vis.,RBK,UY,4.6,4.3,X26796AW,10x42  IS binoculars,,,Z,,,,RS OPH,AAVSO,STD,,,,
2459435.66609,4.784,0.009,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.66818,4.804,0.007,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.67021,4.794,0.008,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.67225,4.830,0.010,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.67451,4.822,0.009,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.67653,4.826,0.009,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.67865,4.792,0.012,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.68063,4.799,0.009,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.68286,4.763,0.009,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.68488,4.762,0.010,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.68706,4.748,0.009,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.68916,4.725,0.010,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.69028,5.1,,,Vis.,HLAA,B,46,53,X26796DV,8x42 binos,,,Z,,,,RS Oph,AAVSO,STD,,,,
2459435.69123,4.719,0.008,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.69337,4.733,0.007,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.69547,4.694,0.007,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.69769,4.691,0.011,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.69967,4.702,0.010,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.70172,4.725,0.012,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.70369,4.683,0.009,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.70639,4.699,0.010,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.70862,4.671,0.009,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.71068,4.691,0.006,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.71295,4.681,0.008,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.71488,4.685,0.006,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.71704,4.678,0.007,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.71916,4.679,0.007,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.72118,4.666,0.007,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.72334,4.660,0.005,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.72555,4.663,0.009,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.72762,4.629,0.010,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.72980,4.606,0.041,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.73183,4.655,0.009,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.73380,4.628,0.011,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.73604,4.623,0.011,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.73813,4.630,0.011,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.74035,4.587,0.012,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.74248,4.615,0.011,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.74455,4.602,0.013,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.74672,4.577,0.013,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.74885,4.572,0.015,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.75086,4.584,0.014,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.75267,4.593,0.017,,V,SKA,,HD 162215,,,,0,,Z,9.34,,,RS OPH,AVSOPLEIONE,STD,1,,,
2459435.75417,4.9,,,Vis.,HLAA,B,46,54,X26796DV,8x42 binos,,,Z,,,,RS Oph,AAVSO,STD,,,,
2459435.80486,4.8,,,Vis.,HSP,U,46,54,X26796DV,,,,Z,,,,RS OPH,RASNZ-VSS,STD,,,,
2459435.85556,5.0,,,Vis.,LMK,KY,3.26,6.21,SKY-MAP.ORG,,,,Z,,,,RS OPH,AAVSO,STD,,,,
2459435.94444,4.6,,,Vis.,PEX,,46,,X26796AW,,,,Z,,,,RS OPH,AAVSO,STD,,,,
2459436.0417,4.4,,,Vis.,SRX,,NA,,NA,43 46,,,Z,,,,RS OPH,AAVSO,STD,,,,
2459436.0417,4.5,,,Vis.,SRX,,46,43,X26796HS,,,,Z,,,,RS Oph,AAVSO,STD,,,,
